section,subsection,question,answer
Classical models,Clustering,Spectral clustering,"Spectral clustering combines some of the approaches described above to create a stronger clustering method.
First of all, this algorithm requires us to define the similarity matrix for observations called the adjacency matrix. This can be done in a similar fashion as in the Affinity Propagation algorithm: Ai,j=−||xi−xj||2. This matrix describes a full graph with the observations as vertices and the estimated similarity value between a pair of observations as edge weights for that pair of vertices. For the metric defined above and two-dimensional observations, this is pretty intuitive - two observations are similar if the edge between them is shorter. We’d like to split up the graph into two subgraphs in such a way that each observation in each subgraph would be similar to another observation in that subgraph. Formally, this is a Normalized cuts problem.
"
Classical models,Clustering,Agglomerative clustering,"The following algorithm is the simplest and easiest to understand among all the the clustering algorithms without a fixed number of clusters.
The algorithm is fairly simple:
We start by assigning each observation to its own cluster
Then sort the pairwise distances between the centers of clusters in descending order
Take the nearest two neigbor clusters and merge them together, and recompute the centers
Repeat steps 2 and 3 until all the data is merged into one cluster
The process of searching for the nearest cluster can be conducted with different methods of bounding the observations:
Single linkage d(Ci,Cj)=min xi∈Ci,xj∈Cj||xi−xj||
Complete linkage d(Ci,Cj)=max xi∈Ci,xj∈Cj||xi−xj||
Average linkage d(Ci,Cj)=1ninj∑xi∈Ci∑xj∈Cj||xi−xj||
Centroid linkage d(Ci,Cj)=||μi−μj||
The 3rd one is the most effective in computation time since it does not require recomputing the distances every time the clusters are merged.
The results can be visualized as a beautiful cluster tree (dendrogram) to help recognize the moment the algorithm should be stopped to get optimal results. There are plenty of Python tools to build these dendrograms for agglomerative clustering.
"
Classical models,Clustering,What’s the difference between Gaussian Mixture Model and K-Means?,"Let's says we are aiming to break them into three clusters. K-means will start with the assumption that a given data point belongs to one cluster.
Choose a data point. At a given point in the algorithm, we are certain that a point belongs to a red cluster. In the next iteration, we might revise that belief, and be certain that it belongs to the green cluster. However, remember, in each iteration, we are absolutely certain as to which cluster the point belongs to. This is the ""hard assignment"".
What if we are uncertain? What if we think, well, I can't be sure, but there is 70% chance it belongs to the red cluster, but also 10% chance its in green, 20% chance it might be blue. That's a soft assignment. The Mixture of Gaussian model helps us to express this uncertainty. It starts with some prior belief about how certain we are about each point's cluster assignments. As it goes on, it revises those beliefs. But it incorporates the degree of uncertainty we have about our assignment.
Kmeans: find kk to minimize (x−μk)^2
Gaussian Mixture (EM clustering) : find kk to minimize (x−μk)^2/σ^2
The difference (mathematically) is the denominator “σ^2”, which means GM takes variance into consideration when it calculates the measurement. Kmeans only calculates conventional Euclidean distance. In other words, Kmeans calculate distance, while GM calculates “weighted” distance.
K means:
Hard assign a data point to one particular cluster on convergence.
It makes use of the L2 norm when optimizing (Min {Theta} L2 norm point and its centroid coordinates).
EM:
Soft assigns a point to clusters (so it give a probability of any point belonging to any centroid).
It doesn't depend on the L2 norm, but is based on the Expectation, i.e., the probability of the point belonging to a particular cluster. This makes K-means biased towards spherical clusters.
"
Classical models,Ranking,Ranking,"In this post, by “ranking” we mean sorting documents by relevance to find contents of interest with respect to a query. This is a fundamental problem of Information Retrieval, but this task also arises in many other applications:
Search Engines — Given a user profile (location, age, sex, …) a textual query, sort web pages results by relevance.
Recommender Systems — Given a user profile and purchase history, sort the other items to find new potentially interesting products for the user.
Ranking models typically work by predicting a relevance score s = f(x) for each input x = (q, d) where q is a query and d is a document. Once we have the relevance of each document, we can sort (i.e. rank) the documents according to those scores.
The scoring model can be implemented using various approaches.
Vector Space Models – Compute a vector embedding (e.g. using Tf-Idf or BERT) for each query and document, and then compute the relevance score f(x) = f(q, d) as the cosine similarity between the vectors embeddings of q and d.
Learning to Rank – The scoring model is a Machine Learning model that learns to predict a score s given an input x = (q, d) during a training phase where some sort of ranking loss is minimized.
In this article we focus on the latter approach, and we show how to implement Machine Learning models for Learning to Rank.
"
Classical models,Ranking,Ranking Evaluation Metrics,"Before analyzing various ML models for Learning to Rank, we need to define which metrics are used to evaluate ranking models. These metrics are computed on the predicted documents ranking, i.e. the k-th top retrieved document is the k-th document with highest predicted score s.
All Learning to Rank models use a base Machine Learning model (e.g. Decision Tree or Neural Network) to compute s = f(x). The choice of the loss function is the distinctive element for Learning to Rank models. In general, we have 3 approaches, depending on how the loss is computed.
Pointwise Methods – The total loss is computed as the sum of loss terms defined on each document dᵢ (hence pointwise) as the distance between the predicted score sᵢ and the ground truth yᵢ, for i=1…n. By doing this, we transform our task into a regression problem, where we train a model to predict y.
Pairwise Methods – The total loss is computed as the sum of loss terms defined on each pair of documents dᵢ, dⱼ (hence pairwise), for i, j=1…n. The objective on which the model is trained is to predict whether yᵢ > yⱼ or not, i.e. which of two documents is more relevant. By doing this, we transform our task into a binary classification problem.
Listwise Methods – The loss is directly computed on the whole list of documents (hence listwise) with corresponding predicted ranks. In this way, ranking metrics can be more directly incorporated into the loss.
"
Classical models,Recommender Systems,Recommender System,"In a typical recommender system people provide recommendations as inputs, which the system then aggregates and directs to appropriate recipients. In some cases the primary transformation is in the aggregation; in others the system's value lies in its ability to make good matches between the recommenders and those seeking recommendations.
More formally, the recommendation problem can be formulated as follows: Let C be the set of all users and let S be the set of all possible items that can be recommended. Let u be a utility function that measures the usefulness of item s to user c, that is, u: C x S ⇒ R, where R is a totally ordered set (for example, nonnegative integers or real numbers within a certain range). Then, for each user c ∈ C, we want to choose such item s' ∈ S that maximizes the user's utility.
"
Classical models,Recommender Systems,Recommender Systems Approaches,"Like many machine learning techniques, a recommender system makes prediction based on users’ historical behaviors. Specifically, it’s to predict user preference for a set of items based on past experience. To build a recommender system, the most two popular approaches are Content-based and Collaborative Filtering.
Content-based approach requires a good amount of information of items’ own features, rather than using users’ interactions and feedbacks. For example, it can be movie attributes such as genre, year, director, actor etc., or textual content of articles that can extracted by applying Natural Language Processing.
Unlike collaborative methods that only rely on the user-item interactions, content based approaches use additional information about users and/or items. If we consider the example of a movies recommender system, this additional information can be, for example, the age, the sex, the job or any other personal information for users as well as the category, the main actors, the duration or other characteristics for the movies (items).
Collaborative Filtering, on the other hand, doesn’t need anything else except users’ historical preference on a set of items. Because it’s based on historical data, the core assumption here is that the users who have agreed in the past tend to also agree in the future. In terms of user preference, it usually expressed by two categories. Explicit Rating, is a rate given by a user to an item on a sliding scale, like 5 stars for Titanic. This is the most direct feedback from users to show how much they like an item. Implicit Rating, suggests users preference indirectly, such as page views, clicks, purchase records, whether or not listen to a music track, and so on. In this article, I will take a close look at collaborative filtering that is a traditional and powerful tool for recommender systems.
"
Classical models,Recommender Systems,Content Based Recommender System,"A Content-Based Recommender works by the data that we take from the user, either explicitly (rating) or implicitly (clicking on a link). By the data we create a user profile, which is then used to suggest to the user, as the user provides more input or take more actions on the recommendation, the engine becomes more accurate.
User Profile:
In the User Profile, we create vectors that describe the user’s preference. In the creation of a user profile, we use the utility matrix which describes the relationship between user and item. With this information, the best estimate we can make regarding which item user likes, is some aggregation of the profiles of those items.
Item Profile:
In Content-Based Recommender, we must build a profile for each item, which will represent the important characteristics of that item.
For example, if we make a movie as an item then its actors, director, release year and genre are the most significant features of the movie. We can also add its rating from the IMDB (Internet Movie Database) in the Item Profile.
Utility Matrix:
Utility Matrix signifies the user’s preference with certain items. In the data gathered from the user, we have to find some relation between the items which are liked by the user and those which are disliked, for this purpose we use the utility matrix. In it we assign a particular value to each user-item pair, this value is known as the degree of preference. Then we draw a matrix of a user with the respective items to identify their preference relationship.
Some of the columns are blank in the matrix that is because we don’t get the whole input from the user every time, and the goal of a recommendation system is not to fill all the columns but to recommend a movie to the user which he/she will prefer. Through this table, our recommender system won’t suggest Movie 3 to User 2, because in Movie 1 they have given approximately the same ratings, and in Movie 3 User 1 has given the low rating, so it is highly possible that User 2 also won’t like it.
Recommending Items to User Based on Content:
Method 1:
We can use the cosine distance between the vectors of the item and the user to determine its preference to the user. For explaining this, let us consider an example:
We observe that the vector for a user will have a positive number for actors that tend to appear in movies the user likes and negative numbers for actors user doesn’t like, Consider a movie with actors which user likes and only a few actors which user doesn’t like, then the cosine angle between the user’s and movie’s vectors will be a large positive fraction. Thus, the angle will be close to 0, therefore a small cosine distance between the vectors.
It represents that the user tends to like the movie, if the cosine distance is large, then we tend to avoid the item from the recommendation.
Method 2:
We can use a classification approach in the recommendation systems too, like we can use the Decision Tree for finding out whether a user wants to watch a movie or not, like at each level we can apply a certain condition to refine our recommendation. 
"
Classical models,Recommender Systems,The Meaning of Singular Value Decomposition in Recommender System,"If the matrix  M has rank r, then we can prove that the matrices MMT and MTM are both rank r. In singular value decomposition (the reduced SVD), the columns of matrix U are eigenvectors of MMT and the rows of matrix VT are eigenvectors of MTM. What’s interesting is that they are potentially in different size (because matrix can be non-square shape), but they have the same set of eigenvalues, which are the square of values on the diagonal of ∑.
This is why the result of singular value decomposition can reveal a lot about the matrix.
Imagine we collected some book reviews such that books are columns and people are rows, and the entries are the ratings that a person gave to a book. In that case, MMT would be a table of person-to-person which the entries would mean the sum of the ratings one person gave match with another one. Similarly MTM would be a table of book-to-book which entries are the sum of the ratings received match with that received by another book. What can be the hidden connection between people and books? That could be the genre, or the author, or something of similar nature.
"
Classical models,Recommender Systems,Matrix Factorization in Collaborative Filtering,"What is matrix factorization? Matrix factorization is simply a family of mathematical operations for matrices in linear algebra. To be specific, a matrix factorization is a factorization of a matrix into a product of matrices. In the case of collaborative filtering, matrix factorization algorithms work by decomposing the user-item interaction matrix into the product of two lower dimensionality rectangular matrices. One matrix can be seen as the user matrix where rows represent users and columns are latent factors. The other matrix is the item matrix where rows are latent factors and columns represent items.
How does matrix factorization solve our problems?
Model learns to factorize rating matrix into user and movie representations, which allows model to predict better personalized movie ratings for users
With matrix factorization, less-known movies can have rich latent representations as much as popular movies have, which improves recommender’s ability to recommend less-known movies
In the sparse user-item interaction matrix, the predicted rating user u will give item i is computed as:
where H is user matrix, W is item matrix
Rating of item i given by user u can be expressed as a dot product of the user latent vector and the item latent vector.
Notice in above formula, the number of latent factors can be tuned via cross-validation. Latent factors are the features in the lower dimension latent space projected from user-item interaction matrix. The idea behind matrix factorization is to use latent factors to represent user preferences or movie topics in a much lower dimension space. Matrix factorization is one of very effective dimension reduction techniques in machine learning.
Very much like the concept of components in PCA, the number of latent factors determines the amount of abstract information that we want to store in a lower dimension space. A matrix factorization with one latent factor is equivalent to a most popular or top popular recommender (e.g. recommends the items with the most interactions without any personalization). Increasing the number of latent factors will improve personalization, until the number of factors becomes too high, at which point the model starts to overfit. A common strategy to avoid overfitting is to add regularization terms to the objective function.
The objective of matrix factorization is to minimize the error between true rating and predicted rating:
where H is user matrix, W is item matrix.
"
Classical models,Recommender Systems,Alternating Least Square (ALS),"Alternating Least Square (ALS) is a matrix factorization algorithm and it runs itself in a parallel fashion. ALS is implemented in Apache Spark ML and built for a larges-scale collaborative filtering problems. ALS is doing a pretty good job at solving scalability and sparseness of the Ratings data, and it’s simple and scales well to very large datasets.
"
Classical models,Recommender Systems,Two-Stage Recommender Systems,"In large scale recommender systems pipelines, the size of the item catalog (number of unique items) might be in the order of millions. At such scale, a typical setup is having two-stage pipeline, where a faster candidate retrieval model quickly extracts thousands of relevant items and a then a more powerful ranking model (i.e. with more features and more powerful architecture) ranks the top-k items that are going to be displayed to the user. For ML-based candidate retrieval model, as it needs to quickly score millions of items for a given user, a popular choices are models that can produce recommendation scores by just computing the dot product the user embeddings and item embeddings. Popular choices of such models are Matrix Factorization, which learns low-rank user and item embeddings, and the Two-Tower architecture, which is a neural network with two MLP towers where both user and item features are fed to generate user and item embeddings in the output.
"
Classical models,Recommender Systems,Biases in Recommender Systems,"clickbait bias,
duration bias,
Longer videos always have a tendency to be watched for a longer time,
position bias,
Position bias simply means that users engage with the first thing they see, whether it is particularly relevant to them or not
popularity bias
Popularity bias refers to the tendency of the model to favor items that are more popular overall (due to the fact that they’ve been rated by more users), rather than being based on their actual quality or relevance for a particular user. This can lead to a distorted ranking, where less popular or niche items that could be a better fit for the user’s preferences are not given adequate consideration.
single-interest bias.
Suppose you watch mostly drama movies, but sometimes you like to watch a comedy, and from time to time a documentary. You have multiple interests, yet a ranking model trained with the single objective of maximizing watch time would over-emphasize drama movies because that’s what you’re most likely to engage with. This is single-interest bias, the failure of a model to understand that users inherently have multiple interests and preferences.
"
Classical models,Recommender Systems,Evaluation of Recommender Systems,"Because of the difficulties of running large-scale user studies, recommender systems have conventionally been evaluated on one or both of the following measures:
Prediction accuracy. How well do the system's predicted ratings compare with those that are known, but withheld?
Precision of recommendation lists. Given a short list of recommendations produced by the system (typically all a user would have patience to examine), how many of the entries match known “liked” items?
Both of these conventional measures are deficient in some key respects and many of the new areas of exploration in recommender systems have led to experimentation with new evaluation metrics to supplement these common ones.
One of the most significant problems occurs because of the long-tailed nature of the ratings distribution in many data sets. A recommendation technique that optimizes for high accuracy over the entire data set therefore contains an implicit bias toward well-known items, and therefore may fail to capture aspects of utility related to novelty. An accurate prediction on an item that the user already knows is inherently less useful than a prediction on an obscure item. To address this issue, some researchers are looking at the balance between accuracy and diversity in a set of recommendations and are working on algorithms that are sensitive to item distributions.
Another problem with conventional recommender systems evaluation is that it is essentially static. A fixed database of ratings is divided into training and test sets and used to demonstrate the effectiveness of an algorithm. However, the user experience of recommendation is quite different. In an application like movie recommendation, the field of items is always expanding; a user's tastes are evolving; new users are coming to the system. Some recommendation applications require that we take the dynamic nature of the recommendation environment into account and evaluate our algorithms accordingly.
Another area of evaluation that is relatively underexamined is the interaction between the utility functions of the store owner and the user, which necessarily look quite different. Owners implement recommender systems in order to achieve business goals, typically increased profit. The owner therefore may prefer an imperfect match with a high profit margin to a perfect match with limited profit. On the other hand, a user who is presented with low utility recommendations may cease to trust the recommendation function or the entire site. Owners with high volume sites can field algorithms side by side in randomized trials and observe sales and profit differentials, but such results rarely filter out into the research community.
"
Classical models,Recommender Systems,Name and define techniques used to find similarities in the recommendation system. ,"Pearson correlation and Cosine correlation are techniques used to find similarities in recommendation systems. 
Cross-Validation Through Time 
Random Split randomly splits per-user interactions into train and test folds. The main disadvantage of these methods is that they can hardly be reproduced unless the authors release the used data splits.
User Split randomly split users, rather than their interactions, into train and test groups. In this case, particular users and all their interactions are reserved for training, while a different user set and all their interactions are applied for testing.
Leave One Out Split selects one last final transaction per user for testing while keeping all remaining interactions for training. In the case of next-item recommendations, the last interaction corresponds to the last user-item pair per user. In the case of next-basket recommendations, the last interaction is defined as a basket
Temporal User Split splits per-user interactions into train and test sets based on interaction timestamps (e.g., the last 20% of interactions are used for testing). While this scenario is actively used in the sequential RecSys domain, it could lead to a data leakage.
Temporal Global Split splits all available interactions into train and test folds based on a fixed timestamp. Interactions before it are used for training, and those that come after are reserved for testing. Compared to Leave One Out Split or Temporal User Split, this method could sample fewer interactions for testing since having the same amount of users or items in train and test sets is not guaranteed. Nevertheless, according to recent studies, this is the only strategy that prevents data leakage.
"
Classical models,Hyperparameter optimization,Grid Search,"The simplest algorithms that you can use for hyperparameter optimization is a Grid Search. The idea is simple and straightforward. You just need to define a set of parameter values, train model for all possible parameter combinations and select the best one. This method is a good choice only when model can train quickly, which is not the case for typical neural networks.
"
Classical models,Hyperparameter optimization,Random Search,"The idea is similar to Grid Search, but instead of trying all possible combinations we will just use randomly selected subset of the parameters. Instead of trying to check 100,000 samples we can check only 1,000 of parameters. Now it should take a week to run hyperparameter optimization instead of 2 years.
"
Classical models,Hyperparameter optimization,Bayesian Optimization,"Bayesian optimization is a sequential search framework that incorporates both exploration and exploitation and can be considerably more efficient than either grid search or random search. The goal is to build a probabilistic model of the underlying function that will know both (i) that x1 is a good place to sample because the function will probably return a high value here and (ii) that x2 is a good place to sample because the uncertainty here is very large. 
A Bayesian optimization algorithm has two main components:
A probabilistic model of the function: Bayesian optimization starts with an initial probability distribution (the prior) over the function f[∙] to be optimized. Usually this just reflects the fact that we are extremely uncertain about what the function is. With each observation of the function (xt,f[xt]), we learn more and the distribution over possible functions (now called the posterior) becomes narrower.
An acquisition function: This is computed from the posterior distribution over the function and is defined on the same domain. The acquisition indicates the desirability of sampling each point next and depending on how it is defined it can favor exploration or exploitation.
"
Classical models,Hyperparameter optimization,Acquisition functions,"The acquisition function takes the mean and variance at each point x on the function and computes a value that indicates how desirable it is to sample next at this position. A good acquisition function should trade off exploration and exploitation.
Popular acquisition functions: 
the upper confidence bound 
expected improvement 
probability of improvement
Thompson sampling
"
Classical models,Hyperparameter optimization,Tree-structured Parzen Estimators (TPE),"Tree-structured Parzen Estimators (TPE) fixes disadvantages of the Gaussian Process. Each iteration TPE collects new observation and at the end of the iteration, the algorithm decides which set of parameters it should try next. The main idea is similar, but an algorithm is completely different
At the very beginning, we need to define a prior distribution for out hyperparameters. By default, they can be all uniformly distributed, but it’s possible to associate any hyperparameter with some random unimodal distribution.
For the first few iterations, we need to warm up TPE algorithm. It means that we need to collect some data at first before we can apply TPE. The best and simplest way to do it is just to perform a few iterations of Random Search. A number of iterations for Random Search is a parameter defined by the user for the TPE algorithm.
When we collected some data we can finally apply TPE. The next step is to divide collected observations into two groups. The first group contains observations that gave best scores after evaluation and the second one - all other observations. And the goal is to find a set of parameters that more likely to be in the first group and less likely to be in the second group. The fraction of the best observations is defined by the user as a parameter for the TPE algorithm. Typically, it’s 10-25% of observations.
The next part of the TPE is to model likelihood probability for each of the two groups. This is the next big difference between Gaussian Process and TPE. For Gaussian Process we’ve modeled posterior probability instead of likelihood probability. Using the likelihood probability from the first group (the one that contains best observations) we sample the bunch of candidates. From the sampled candidates we try to find a candidate that more likely to be in the first group and less likely to be in the second one. 
"
Classical models,"
Bias-Variance Tradeoff",Bias-Variance Tradeoff,"Error due to Bias: The error due to bias is taken as the difference between the expected (or average) prediction of our model and the correct value which we are trying to predict. Of course you only have one model so talking about expected or average prediction values might seem a little strange. However, imagine you could repeat the whole model building process more than once: each time you gather new data and run a new analysis creating a new model. Due to randomness in the underlying data sets, the resulting models will have a range of predictions. Bias measures how far off in general these models' predictions are from the correct value.
Error due to Variance: The error due to variance is taken as the variability of a model prediction for a given data point. Again, imagine you can repeat the entire model building process multiple times. The variance is how much the predictions for a given point vary between different realizations of the model
This error of model may be decomposed into bias and variance components:
Err(x)=Bias^2+Variance+Irreducible Error
At its root, dealing with bias and variance is really about dealing with over- and under-fitting. Bias is reduced and variance is increased in relation to model complexity. As more and more parameters are added to a model, the complexity of the model rises and variance becomes our primary concern while bias steadily falls. For example, as more polynomial terms are added to a linear regression, the greater the resulting model's complexity will be. In other words, bias has a negative first-order derivative in response to model complexity while variance has a positive slope.
The sweet spot for any model is the level of complexity at which the increase in bias is equivalent to the reduction in variance. 
"
Classical models,Model Calibration,What is Model Calibration?,"Model calibration refers to the process of adjusting the predicted probabilities of a model so that they reflect the true likelihood of an event. For example, if a model predicts a 70% probability of rain tomorrow, it should actually rain 70% of the times when such a prediction is made over a large number of instances.
The model outputs two important pieces of information in a typical classification ML model. One is the predicted class label (for example, classification as spam or not spam emails), and the other is the predicted probability. In binary classification, the sci-kit learn library gives a method called the model.predict_proba(test_data) that gives us the probability for the target to be 0 and 1 in an array form. A model predicting rain can give us a 40% probability of rain and a 60% probability of no rain. We are interested in the uncertainty in the estimate of a classifier. There are typical use cases where the predicted probability of the model is very much of interest to us, such as weather models, fraud detection models, customer churn models, etc. For example, we may be interested in answering the question, what is the probability of this customer repaying the loan?
Why is Calibration Important?
Properly calibrated models are essential for decision-making processes where the predicted probabilities are directly used. Here are a few reasons why calibration is important:
Trustworthiness: A well-calibrated model provides more reliable predictions, which can be crucial in fields like healthcare, finance, and autonomous systems.
Decision Making: Accurate probability estimates allow for better risk assessment and decision making.
Comparative Performance: Calibration can help compare the performance of different models or classifiers in a meaningful way.
"
Classical models,Model Calibration,How to Measure Calibration,"Several metrics and tools can help assess the calibration of your model:
Calibration Plots (Reliability Diagrams): These plots compare predicted probabilities with actual outcomes. A perfectly calibrated model will have points lying on the diagonal line.
Brier Score: The Brier score is a metric used to measure the accuracy of probabilistic predictions. It is particularly useful for evaluating the calibration of binary classifiers. The Brier score quantifies how close the predicted probabilities are to the actual outcomes, combining both calibration and refinement.
"
Classical models,Model Calibration,Techniques for Model Calibration,"There are several methods to calibrate a machine learning model:
Histogram Binning
Platt Scaling
It is a post-processing method used to calibrate the probability estimates of a binary classifier. It involves fitting a logistic regression model to the scores (e.g., raw outputs or decision function values) of an existing classifier. The logistic regression model transforms these scores into well-calibrated probabilities.
How Does Platt Scaling Work?
The method involves the following steps:
Train the Classifier: Train your binary classifier as usual.
Get Raw Scores: Obtain the raw scores or decision function values from the classifier.
Fit Logistic Regression: Fit a logistic regression model to these scores using the true binary labels.
Predict Probabilities: Use the logistic regression model to convert raw scores into calibrated probabilities.
Isotonic Regression
Isotonic Regression is a non-parametric technique used to fit a non-decreasing (isotonic) function to data. It is particularly useful for calibrating the probabilities of a classifier by ensuring that the predicted probabilities are monotonically increasing with respect to the true outcomes.
How Does Isotonic Regression Work?
The method works by fitting a piecewise constant non-decreasing function to the data. Here’s the step-by-step process:
Train the Classifier: Train your binary classifier as usual.
Get Raw Scores: Obtain the raw scores or decision function values from the classifier.
Fit Isotonic Regression: Fit an isotonic regression model to these scores using the true binary labels.
Predict Probabilities: Use the isotonic regression model to convert raw scores into calibrated probabilities.
"
Classical models,Generative Models for Data Classification,Discriminative vs. Generative Models,"Discriminative Models
Discriminative models are designed to make clear, effective decisions about which class a data point belongs to. They do this by focusing directly on the boundary between classes, which means they concentrate on the differences between classes rather than modeling each class itself.
You’re asked to separate people into two groups: adults and children, based on height. Instead of trying to analyze everything about each group (like average age, weight, interests), you could simply focus on height, looking for a “cutoff” point that separates the two groups. Here, you’re looking for the height boundary, like “anyone taller than 5 feet is likely an adult.”
In this analogy:
The height cutoff is the decision boundary.
Focusing on the cutoff rather than understanding all the characteristics of adults and children represents the discriminative approach.
A common example of a discriminative model is logistic regression. This model tries to estimate the probability that a data point belongs to a specific class, say class k, based on the input features X. In mathematical terms, it models the conditional probability: P(Y = k ∣ X = x)
where:
Y is the class label, which tells us the category each data point belongs to.
X represents the input features or characteristics of the data point, like height, weight, or age.
k is a specific class we’re interested in.
By focusing on this probability, discriminative models don’t try to understand the individual classes themselves. Instead, they focus only on how to distinguish between classes. This makes them highly effective for tasks like classification, where the main goal is to decide whether a data point belongs to one class or another.
Generative Models
In contrast to discriminative models, generative models take a more comprehensive approach. They attempt to understand the data by modeling each class separately. Generative models estimate how the data in each class is distributed, aiming to capture the characteristics of each class itself. This is achieved by modeling the joint probability: P(X =x, Y =k)
where:
P(X =x, Y =k) is the probability of both the features X and the class label Y occurring together.
Generative models go a step further than discriminative models. They can calculate P(X∣Y = k), the probability of the input features given the class, and also P(Y=k), the overall probability of the class. These models offer a different perspective by modeling the distribution of the input features for each category. With this information, they can then compute P(Y = k ∣ X = x) using Bayes’ theorem.
This approach allows generative models not only to classify data points but also to generate new data that resembles the data in each class, which is a key advantage in applications like image generation or speech synthesis.
Generative classifiers
Assume some functional form for P(Y), P(X|Y)
Estimate parameters of P(X|Y), P(Y) directly from training data
Use Bayes rule to calculate P(Y |X)
Discriminative Classifiers
Assume some functional form for P(Y|X)
Estimate parameters of P(Y|X) directly from training data
"
Classical models,Generative Models for Data Classification,Which models are discriminative and which generative?,"Generative classifiers
‌Naïve Bayes
Bayesian networks
Markov random fields
‌Hidden Markov Models (HMM)
Discriminative Classifiers
‌Logistic regression
Scalar Vector Machine
‌Traditional neural networks
‌Nearest neighbour
Conditional Random Fields (CRF)s
"
Classical models,Generative Models for Data Classification,Why Generative Models Are Useful,"Generative models have several strengths:
Robustness: When classes are clearly distinct, generative models can be more stable and accurate. Since they model each class in detail, they are good at handling situations where classes are well-separated.
Effective with Small Sample Sizes: Generative models are often useful when there’s limited data. If the data within each class follows a known pattern (like a normal distribution), generative models can still perform well, even with fewer examples.
Flexibility with Multiple Classes: Generative models can handle scenarios with more than two classes naturally, as Bayes’ theorem can easily extend to any number of classes by summing across them.
Ability to Generate New Data: Since generative models learn the distribution of each class, they can create new data points that resemble those in the original dataset. This makes them popular in applications like image generation, text generation, and more, where creating realistic new examples is important.
"
Classical models,Generative Models for Data Classification,Gaussian Discriminant Analysis,"Gaussian Discriminant Analysis (GDA) is a supervised learning algorithm used for classification tasks in machine learning. It is a variant of the Linear Discriminant Analysis (LDA) algorithm that relaxes the assumption that the covariance matrices of the different classes are equal.
GDA works by assuming that the data in each class follows a Gaussian (normal) distribution, and then estimating the mean and covariance matrix for each class. It then uses Bayes’ theorem to compute the probability that a new data point belongs to each class, and chooses the class with the highest probability as the predicted class.
GDA can handle data with arbitrary covariance matrices for each class, unlike LDA, which assumes that the covariance matrices are equal. This makes GDA more flexible and able to handle more complex datasets. However, the downside is that GDA requires estimating more parameters, as it needs to estimate a separate covariance matrix for each class.
One disadvantage of GDA is that it can be sensitive to outliers and may overfit the data if the number of training examples is small relative to the number of parameters being estimated. Additionally, GDA may not perform well when the decision boundary between classes is highly nonlinear.
Overall, GDA is a powerful classification algorithm that can handle more complex datasets than LDA, but it requires more parameters to estimate and may not perform well in all situations.
"
Classical models,Generative Models for Data Classification,Linear Discriminant Analysis (LDA),"Linear Discriminant Analysis (LDA) is a popular classification technique in machine learning and statistics. Unlike logistic regression, which is a discriminative model, LDA is a generative model. It assumes that each class follows a normal (Gaussian) distribution, sharing the same variance but differing in mean. This setup allows this model to use Bayes’ theorem to determine the class of a new data point.
LDA assumes that the data in each class can be modeled by a normal distribution. In a normal distribution, most data points cluster around a central mean, forming a bell-shaped curve:
Each class k has its own mean μ_k for the distribution of the features.
All classes share a common variance σ², meaning the spread or “width” of the bell curve is the same across classes.
For example, if we’re classifying flowers by species, LDA assumes that the feature distributions (like petal length or width) for each species are normally distributed with unique means but the same variance.
LDA uses the training data to estimate three key components:
Prior probabilities P(Y=k): This is the probability of each class occurring in the dataset, calculated by the proportion of data points belonging to each class.
Class means u_k: For each class k, the mean of the feature values is computed to represent the “center” of the distribution for that class.
Shared variance σ²: LDA calculates a single variance across all classes to represent how the data is spread out around the means.
With these parameters estimated, LDA applies Bayes’ theorem to compute the posterior probability P(Y=k ∣ X=x), which is the probability that a data point with features X=x belongs to class k.
LDA assigns a new data point to the class with the highest posterior probability P(Y=k ∣ X=x). However, instead of calculating these probabilities directly, it’s often more convenient to work with the log of the posterior probabilities to avoid very small numbers and make computation easier, so LDA simplifies the problem by using the logarithm of the joint probability P(Y=k)⋅P(X=x ∣ Y=k).
For two classes, LDA finds a linear decision boundary where the discriminant functions for both classes are equal. This boundary is a straight line (or hyperplane in higher dimensions) that separates the classes in feature space.
"
Classical models,Generative Models for Data Classification,Quadratic Discriminant Analysis (QDA),"Assumption: Assumes that the data from each class follows a multivariate normal distribution with its own covariance matrix.
Decision Boundaries: The decision boundaries between classes are quadratic (curved).
Usage: Suitable for situations where the classes have different covariance structures (i.e., different variances or correlations between the features).
Flexibility: More flexible than Linear Discriminant Analysis (LDA), as it allows each class to have its own covariance matrix, which can lead to more complex decision boundaries.
"
Classical models,Miscellaneous ,Why might it be preferable to include fewer predictors over many?,"When we add irrelevant features, it increases model's tendency to overfit because those features introduce more noise. When two variables are correlated, they might be harder to interpret in case of regression, etc.
curse of dimensionality
adding random noise makes the model more complicated but useless
computational cost
"
Classical models,Miscellaneous ,What are some ways I can make my model more robust to outliers?,"We can have regularization such as L1 or L2 to reduce variance (increase bias).
Changes to the algorithm:
Use tree-based methods instead of regression methods as they are more resistant to outliers. For statistical tests, use non parametric tests instead of parametric ones.
Use robust error metrics such as MAE or Huber Loss instead of MSE.
Changes to the data:
Winsorizing the data
Transforming the data (e.g. log)
Remove them only if you’re certain they’re anomalies not worth predicting
"
